file_name,accessible,title,description,keywords,publish_date
stdprod_105288,,"Travaux sur des fossés ou drainages et espèces en voie de disparition ou menacées","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Travaux sur des fossés ou drainages et espèces en voie de disparition ou menacées",2013-06-06
stdprod_105268,,"Forest Operations and Endangered or Threatened Species","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Forest Operations and Endangered or Threatened Species",2013-06-05
stdprod_105267,,"Accidently Trapping a Species at Risk","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Accidently Trapping a Species at Risk",2013-06-05
stdprod_105250,,"La collecte, l'élevage, l'achat ou la vente de reptiles et des amphibiens vivants","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"La collecte, l'élevage, l'achat ou la vente de reptiles et des amphibiens vivants",2013-06-05
stdprod_105240,,"Buy or Sell a Live Furbearing Mammal","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Buy or Sell a Live Furbearing Mammal",2013-06-05
stdprod_105231,,"Serve Fish or Wild Game at Charitable Events","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Serve Fish or Wild Game at Charitable Events",2013-06-05
stdprod_101831,,"2012-2013 Annual Accessibility Plan (PDF English)","2012-2013 Annual Accessibility Plan",ron.evers@ontario.ca,"2012-2013 Annual Accessibility Plan",2012-12-17
stdprod_101832,,"Plan annuel d’accessibilité 2012-2013","Plan annuel d’accessibilité 2012-2013",ron.evers@ontario.ca,"Plan annuel d’accessibilité 2012-2013",2012-12-17
stdprod_105259,,"Butternut Trees on Your Property","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Butternut Trees on Your Property",2013-06-05
stdprod_105236,,"Export Dead Wild Animals from Ontario","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Export Dead Wild Animals from Ontario",2013-06-05
stdprod_105262,,"Create a Safe Place for a Species at Risk on Your Property (Safe Harbour)","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Create a Safe Place for a Species at Risk on Your Property (Safe Harbour)",2013-06-05
stdprod_108483,,"Rapport final - Le rapport du Comité indépendant d’enquête sur l’herbicide 2,4,5-T","Rapport final du Comité indépendant d’enquête sur l’herbicide 2,4,5-T",,"herbicide, 2,4,5,-T, Agent Orange",2013-06-12
stdprod_105242,,"Servir un repas de poisson et de gibier sauvages lors d’un événement organisé pour une oeuvre de bienfaisance","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Servir un repas de poisson et de gibier sauvages lors d’un événement organisé pour une oeuvre de bienfaisance",2013-06-05
stdprod_105235,,"Buy or Sell Wild Animal Hides or Antlers (Native to Ontario)","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Buy or Sell Wild Animal Hides or Antlers (Native to Ontario)",2013-06-05
stdprod_108482,,"Survol du rapport - Le rapport du Comité indépendant d’enquête sur l’herbicide 2,4,5-T","Sommaire du rapport du Comité indépendant d’enquête sur l’herbicide 2,4,5-T",,"herbicide, 2,4,5,-T, Agent Orange",2013-06-12
stdprod_105239,,"Collect, Breed, Buy or Sell a Live Reptile or Amphibian","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Collect, Breed, Buy or Sell a Live Reptile or Amphibian",2013-06-05
stdprod_108481,,"Sommaire de gestion - Le rapport du Comité indépendant d’enquête sur l’herbicide 2,4,5-T","Sommaire de gestion - Le rapport du Comité indépendant d’enquête sur l’herbicide 2,4,5-T",,"herbicide, 2,4,5,-T, Agent Orange",2013-06-12
stdprod_105278,,"Travail sur des structures dans l'habitat de poissons ou de moules","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Travail sur des structures dans l'habitat de poissons ou de moules",2013-06-05
stdprod_105282,,"Conservation des écosystèmes et espèces en voie de disparition ou menacées","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Conservation des écosystèmes et espèces en voie de disparition ou menacées",2013-06-06
stdprod_105265,,"Keep a Species at Risk for Science and Education","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Keep a Species at Risk for Science and Education",2013-06-05
stdprod_105248,,"Contrôle des animaux sauvages : règles pour les municipalités","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Contrôle des animaux sauvages : règles pour les municipalités",2013-06-05
stdprod_105246,,"Acheter ou vendre des peaux et des bois tombés (d'animaux sauvages indigènes de l'Ontario)","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Acheter ou vendre des peaux et des bois tombés (d'animaux sauvages indigènes de l'Ontario)",2013-06-05
stdprod_105280,,"Création d’une zone sûre pour les espèces en péril sur votre propriété","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Création d’une zone sûre pour les espèces en péril sur votre propriété",2013-06-06
stdprod_105286,,"Opérations forestières et espèces en voie de disparition ou menacées","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Opérations forestières et espèces en voie de disparition ou menacées",2013-06-05
stdprod_105233,,"Keep, Buy or Sell a Pelt","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Keep, Buy or Sell a Pelt",2013-06-05
stdprod_105276,,"Bobolink and Eastern Meadowlark Habitats and Land Development","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Bobolink and Eastern Meadowlark Habitats and Land Development",2013-06-05
stdprod_105261,,"Alter a Structure that is Habitat for Barn Swallow or Chimney Swift","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Alter a Structure that is Habitat for Barn Swallow or Chimney Swift",2013-06-05
stdprod_105293,,"Puits ou carrières et espèces en voie de disparition ou menacées","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Puits ou carrières et espèces en voie de disparition ou menacées",2013-06-05
stdprod_103614,,"Draft: Preparation of Natural Heritage Evaluation for Key Natural Heritage Features and Key Hydrologic Features for the Lake Simcoe Protection Plan","ER notice supporting docs March 2013",erika.weisz@ontario.ca,"Lake Simcoe, protection, ER, Natural Heritage Evaluation, Lake Simcoe Protection Plan",2013-03-18
stdprod_108479,,"Report at a Glance - Report of the Independent Fact-Finding Panel on Herbicide 2,4,5-T","Summary of the Report of the Independent Fact-Finding Panel on Herbicide 2,4,5-T",,"herbicide, 2,4,5,-T, Agent Orange",2013-06-12
stdprod_108478,,"Executive Summary - Report of the Independent Fact-Finding Panel on Herbicide 2,4,5-T","Executive Summary of the Report of the Independent Fact-Finding Panel on Herbicide 2,4,5-T",,"herbicide, 2,4,5,-T, Agent Orange",2013-06-12
stdprod_105237,,"Wild Animal Control: Rules for Municipalities","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Wild Animal Control: Rules for Municipalities",2013-06-05
stdprod_105284,,"Travaux du domaine de la santé et sécurité humaine et espèces en voie de disparition ou menacées","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Travaux du domaine de la santé et sécurité humaine et espèces en voie de disparition ou menacées",2013-06-05
stdprod_105238,,"Tan, Treat or Preserve Wild Animal Pelts","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Tan, Treat or Preserve Wild Animal Pelts",2013-06-05
stdprod_105234,,"Harass, Capture or Kill a Wild Animal Damaging Private Property","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Harass, Capture or Kill a Wild Animal Damaging Private Property",2013-06-05
stdprod_105274,,"Wind Farms and Endangered or Threatened Species","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Wind Farms and Endangered or Threatened Species",2013-06-05
stdprod_105232,,"Keep a Dead Wild Animal","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Keep a Dead Wild Animal",2013-06-05
stdprod_108480,,"Final Report - Report of the Independent Fact-Finding Panel on Herbicide 2,4,5-T","Final Report of the Independent Fact-Finding Panel on Herbicide 2,4,5-T",,"herbicide, 2,4,5,-T, Agent Orange",2013-06-12
stdprod_105287,,"Aide à la protection ou au rétablissement des espèces en voie de disparition ou menacées","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Aide à la protection ou au rétablissement des espèces en voie de disparition ou menacées",2013-06-05
stdprod_105245,,"Harceler, capturer et tuer un animal sauvage qui cause des dommages à la propriété","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Harceler, capturer et tuer un animal sauvage qui cause des dommages à la propriété",2013-06-05
stdprod_105244,,"Conserver, acheter ou vendre une pelleterie","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Conserver, acheter ou vendre une pelleterie",2013-06-06
stdprod_105273,,"Hydro-electric Generating Stations and Endangered or Threatened Species","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Hydro-electric Generating Stations and Endangered or Threatened Species",2013-06-05
stdprod_105292,,"Installations d'énergie éolienne et espèces en voie de disparition ou menacées","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Installations d'énergie éolienne et espèces en voie de disparition ou menacées",2013-06-05
stdprod_105291,,"Postes hydroélectriques et espèces en voie de disparition ou menacées","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Postes hydroélectriques et espèces en voie de disparition ou menacées",2013-06-05
stdprod_105279,,"Modification d'une structure servant d'habitat à l'hirondelle rustique ou au martinet ramoneur","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Modification d'une structure servant d'habitat à l'hirondelle rustique ou au martinet ramoneur",2013-06-05
stdprod_105272,,"Mineral Exploration and Endangered or Threatened Species","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Mineral Exploration and Endangered or Threatened Species",2013-06-05
stdprod_105269,,"Help Protect or Recover an Endangered or Threatened Species","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Help Protect or Recover an Endangered or Threatened Species",2013-06-05
stdprod_105260,,"Working on Structures in Fish and Mussel Habitat","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Working on Structures in Fish and Mussel Habitat",2013-06-05
stdprod_105252,,"Retrirer des nids ou des oeufs d'oiseau","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Retrirer des nids ou des oeufs d'oiseau",2013-06-05
stdprod_105247,,"Exporter des animaux sauvages morts depuis l'Ontario","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Exporter des animaux sauvages morts depuis l'Ontario",2013-06-05
stdprod_105241,,"Remove Bird Nests or Eggs","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Remove Bird Nests or Eggs",2013-06-05
stdprod_105285,,"Piégeage accidentel d'une espèce en péril","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Piégeage accidentel d'une espèce en péril",2013-06-05
stdprod_105281,,"Élevage et vente commerciaux de plantes (espèces en péril seulement)","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Élevage et vente commerciaux de plantes (espèces en péril seulement)",2013-06-05
stdprod_105275,,"Pits or Quarries and Endangered or Threatened Species","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Pits or Quarries and Endangered or Threatened Species",2013-06-05
stdprod_105243,,"Possession d'animaux sauvages morts","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Possession d'animaux sauvages morts",2013-06-06
stdprod_105277,,"Le noyé cendré sur votre propriété","Le ministère des Richesses naturelles simplifie ses processus d’autorisation pour aider les personnes et les entreprises à accéder à ces services plus rapidement et plus efficacement, tout en continuant à protéger les ressources naturelles de l’Ontario et à les gérer de façon durable.",webmaster@mnr.gov.on.ca,"Le noyé cendré sur votre propriété",2013-06-05
stdprod_105264,,"Ecosystem Conservation and Endangered or Threatened Species Restore Native Ecosystems","The Ministry of Natural Resources is streamlining its approvals processes to help individuals and businesses access these services faster and more efficiently, while continuing to protect and sustainably manage Ontario’s natural resources.",Aastha.Singh@ontario.ca,"Ecosystem Conservation and Endangered or Threatened Species Restore Native Ecosystems",2013-06-05
